ats,slug,company_name,status,last_checked_at,last_successful_fetch_at,jobs_last_run,jobs_relevant_last_run,jobs_inserted_last_run,jobs_updated_last_run,jobs_irrelevant_last_run,jobs_partial_last_run,jobs_old_last_run,fetch_failed_last_run,yield_last_run,times_seen_empty,times_failed,last_relevant_at,runs_since_last_relevant,consecutive_fetch_failures,manually_disabled,scrape_tier,scrape_every_runs,bucket_last_run,last_error,provider,company,_existingjobsbysourceid
ashby,finary,Finary,auto,2026-04-15T13:56:14.490Z,2026-04-15T13:56:14.490Z,15,0,0,0,10,0,5,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Finary,
ashby,finmid.com,Finmid.Com,auto,2026-04-15T13:56:15.056Z,2026-04-15T13:56:15.056Z,3,0,0,0,2,0,1,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Finmid.Com,
ashby,flagright.com,Flagright.Com,auto,2026-04-15T13:56:16.740Z,2026-04-15T13:56:16.740Z,59,0,0,0,56,0,3,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Flagright.Com,
ashby,flink,Flink,auto,2026-04-15T13:56:16.847Z,2026-04-15T13:56:16.847Z,2,0,0,0,1,0,1,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Flink,
ashby,Flock Safety,Flock Safety,auto,2026-04-15T13:56:20.877Z,2026-04-15T13:56:20.877Z,65,16,0,16,41,0,8,false,0.246,0,0,2026-04-15T13:56:20.877Z,0,0,false,medium,1,productive,,ashby,Flock Safety,[object Map]
ashby,Flock%20Safety,Flock%20Safety,auto,2026-04-15T13:56:22.829Z,2026-04-15T13:56:22.829Z,65,16,0,16,41,0,8,false,0.246,0,0,2026-04-15T13:56:22.829Z,0,0,false,medium,1,productive,,ashby,Flock%20Safety,
ashby,Foundational Industries,Foundational Industries,auto,2026-04-15T13:56:23.393Z,2026-04-15T13:56:23.393Z,8,0,0,0,8,0,0,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Foundational Industries,
ashby,foundry-robotics,Foundry Robotics,auto,2026-04-15T13:56:24.548Z,2026-04-15T13:56:24.548Z,5,0,0,0,5,0,0,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Foundry Robotics,
ashby,fyxer,Fyxer,auto,2026-04-15T13:56:25.448Z,2026-04-15T13:56:25.448Z,14,0,0,0,12,0,2,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Fyxer,
ashby,gecko-robotics,Gecko Robotics,auto,2026-04-15T13:56:26.843Z,2026-04-15T13:56:26.843Z,24,0,0,0,19,0,5,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Gecko Robotics,
