"company_key","sources_status","last_checked_at","last_successful_fetch_at","last_fetch_error","consecutive_failures","jobs_last_run","jobs_relevant_last_run","jobs_inserted_last_run","jobs_updated_last_run","jobs_irrelevant_last_run","jobs_partial_last_run","jobs_old_last_run","fetch_failed_last_run","yield_last_run","times_seen_empty","times_failed","scrape_tier","scrape_every_runs","bucket_last_run"
"legacy__ashby__mosey","auto","2026-04-10T15:00:57.620Z","2026-04-10T15:00:57.620Z","","","2","0","0","0","0","0","2","false","0.000","0","0","low","2","old_only"
"legacy__ashby__munich-electrification","auto","2026-04-10T15:00:57.879Z","2026-04-10T15:00:57.879Z","","","34","0","0","0","32","0","2","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__neara","auto","2026-04-10T15:00:58.125Z","2026-04-10T15:00:58.125Z","","","36","0","0","0","34","0","2","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__neworbit","auto","2026-04-10T15:00:58.359Z","2026-04-10T15:00:58.359Z","","","10","0","0","0","4","0","6","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__niantic-spatial","auto","2026-04-10T15:00:58.789Z","2026-04-10T15:00:58.789Z","","","5","1","0","1","4","0","0","false","0.200","0","0","medium","1","productive"
"legacy__ashby__noda-ai","auto","2026-04-10T15:01:00.347Z","2026-04-10T15:01:00.347Z","","","12","7","0","7","0","0","5","false","0.583","0","0","high","1","productive"
"legacy__ashby__northvectordynamics","auto","2026-04-10T15:01:00.740Z","2026-04-10T15:01:00.740Z","","","6","1","0","1","5","0","0","false","0.167","0","0","medium","1","productive"
"legacy__ashby__northwoodspace","auto","2026-04-10T15:01:01.011Z","2026-04-10T15:01:01.011Z","","","56","0","0","0","38","0","18","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__observable-space","auto","2026-04-10T15:01:01.235Z","2026-04-10T15:01:01.235Z","","","18","0","0","0","16","0","2","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__obvio","auto","2026-04-10T15:01:01.456Z","2026-04-10T15:01:01.456Z","","","10","0","0","0","7","0","3","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__odys-aviation","auto","2026-04-10T15:01:04.041Z","2026-04-10T15:01:04.041Z","","","15","12","0","12","1","0","2","false","0.800","0","0","high","1","productive"
"legacy__ashby__oligo","auto","2026-04-10T15:01:04.236Z","2026-04-10T15:01:04.236Z","","","14","0","0","0","4","0","10","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__onebrief","auto","2026-04-10T15:01:04.506Z","2026-04-10T15:01:04.506Z","","","25","0","0","0","24","0","1","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__OnHires","auto","2026-04-10T15:01:06.634Z","2026-04-10T15:01:06.634Z","","","49","2","0","2","47","0","0","false","0.041","0","0","low","2","productive"
"legacy__ashby__orchard","auto","2026-04-10T15:01:06.870Z","2026-04-10T15:01:06.870Z","","","15","0","0","0","12","0","3","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__persona.ai","auto","2026-04-10T15:01:07.282Z","2026-04-10T15:01:07.282Z","","","12","1","0","1","3","0","8","false","0.083","0","0","low","2","productive"
"legacy__ashby__physicalintelligence","auto","2026-04-10T15:01:08.468Z","2026-04-10T15:01:08.468Z","","","22","0","0","0","12","0","10","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__pirros","auto","2026-04-10T15:01:08.671Z","2026-04-10T15:01:08.671Z","","","3","0","0","0","3","0","0","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__pivotrobotics","auto","2026-04-10T15:01:08.835Z","2026-04-10T15:01:08.835Z","","","3","0","0","0","2","0","1","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__point-one-navigation","auto","2026-04-10T15:01:09.285Z","2026-04-10T15:01:09.285Z","","","9","1","0","1","3","0","5","false","0.111","0","0","medium","1","productive"
"legacy__ashby__poseidonaero","auto","2026-04-10T15:01:13.860Z","2026-04-10T15:01:13.860Z","","","14","5","5","0","9","0","0","false","0.357","0","0","medium","1","productive"
"legacy__ashby__praxipal","auto","2026-04-10T15:01:14.238Z","2026-04-10T15:01:14.238Z","","","11","0","0","0","10","0","1","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__PrimeIntellect","auto","2026-04-10T15:01:15.291Z","2026-04-10T15:01:15.291Z","","","20","0","0","0","5","0","15","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__prior-labs","auto","2026-04-10T15:01:15.771Z","2026-04-10T15:01:15.771Z","","","15","0","0","0","8","0","7","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__pylon-labs","auto","2026-04-10T15:01:16.131Z","2026-04-10T15:01:16.131Z","","","30","0","0","0","14","0","16","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__quartermaster","auto","2026-04-10T15:01:16.363Z","2026-04-10T15:01:16.363Z","","","23","0","0","0","18","0","5","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__quilter","auto","2026-04-10T15:01:16.567Z","2026-04-10T15:01:16.567Z","","","5","0","0","0","3","0","2","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__rabot","auto","2026-04-10T15:01:16.782Z","2026-04-10T15:01:16.782Z","","","6","0","0","0","6","0","0","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__radiant-industries","auto","2026-04-10T15:01:17.164Z","2026-04-10T15:01:17.164Z","","","86","0","0","0","60","0","26","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__realmalliance","auto","2026-04-10T15:01:18.021Z","2026-04-10T15:01:18.021Z","","","7","4","0","4","1","0","2","false","0.571","0","0","high","1","productive"
"legacy__ashby__red6","auto","2026-04-10T15:01:18.254Z","2026-04-10T15:01:18.254Z","","","17","0","0","0","14","0","3","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__reflect-orbital","auto","2026-04-10T15:01:18.511Z","2026-04-10T15:01:18.511Z","","","19","0","0","0","2","0","17","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__ReflexRobotics","auto","2026-04-10T15:01:19.042Z","2026-04-10T15:01:19.042Z","","","6","0","0","0","1","0","5","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__reliable-robotics","auto","2026-04-10T15:01:20.926Z","2026-04-10T15:01:20.926Z","","","60","9","0","9","43","0","8","false","0.150","0","0","medium","1","productive"
"legacy__ashby__rhoda-ai","auto","2026-04-10T15:01:21.148Z","2026-04-10T15:01:21.148Z","","","16","0","0","0","16","0","0","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__Ridealso","auto","2026-04-10T15:01:25.043Z","2026-04-10T15:01:25.043Z","","","77","0","0","0","65","0","12","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__robco","auto","2026-04-10T15:01:25.309Z","2026-04-10T15:01:25.309Z","","","38","0","0","0","38","0","0","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__robin-radar","auto","2026-04-10T15:01:28.858Z","2026-04-10T15:01:28.858Z","","","24","19","0","19","3","0","2","false","0.792","0","0","high","1","productive"
"legacy__ashby__robot-learning-co","auto","2026-04-10T15:01:28.877Z","2026-04-10T15:01:28.877Z","","","0","0","0","0","0","0","0","false","0.000","2","0","dead","999","empty"
"legacy__ashby__Scale Army Careers","auto","2026-04-10T15:01:34.285Z","2026-04-10T15:01:34.285Z","","","107","0","0","0","99","0","8","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__se3","auto","2026-04-10T15:01:36.705Z","2026-04-10T15:01:36.705Z","","","12","5","0","5","1","0","6","false","0.417","0","0","medium","1","productive"
"legacy__ashby__seneca","auto","2026-04-10T15:01:37.782Z","2026-04-10T15:01:37.782Z","","","11","0","0","0","0","0","11","false","0.000","0","0","low","2","old_only"
"legacy__ashby__sensmore","auto","2026-04-10T15:01:38.366Z","2026-04-10T15:01:38.366Z","","","8","0","0","0","6","0","2","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__sentinel-eagle","auto","2026-04-10T15:01:39.816Z","2026-04-10T15:01:39.816Z","","","3","1","0","1","2","0","0","false","0.333","0","0","medium","1","productive"
"legacy__ashby__sereact","auto","2026-04-10T15:01:40.031Z","2026-04-10T15:01:40.031Z","","","30","0","0","0","29","0","1","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__serverobotics","auto","2026-04-10T15:01:42.859Z","2026-04-10T15:01:42.859Z","","","58","1","0","1","47","0","10","false","0.017","0","0","low","2","productive"
"legacy__ashby__sesame","auto","2026-04-10T15:01:45.348Z","2026-04-10T15:01:45.348Z","","","29","0","0","0","13","0","16","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__sfcompute","auto","2026-04-10T15:01:46.618Z","2026-04-10T15:01:46.618Z","","","14","0","0","0","11","0","3","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__Sine Engineering","auto","2026-04-10T15:01:49.901Z","2026-04-10T15:01:49.901Z","","","15","11","0","11","3","0","1","false","0.733","0","0","high","1","productive"
"legacy__ashby__Sine%20Engineering","auto","2026-04-10T15:01:52.321Z","2026-04-10T15:01:52.321Z","","","15","11","0","11","3","0","1","false","0.733","0","0","high","1","productive"
"legacy__ashby__skydio","auto","2026-04-10T15:02:12.134Z","2026-04-10T15:02:12.134Z","","","125","81","0","81","5","0","39","false","0.648","0","0","high","1","productive"
"legacy__ashby__spear-ai","auto","2026-04-10T15:02:12.621Z","2026-04-10T15:02:12.621Z","","","15","1","0","1","14","0","0","false","0.067","0","0","low","2","productive"
"legacy__ashby__sphere-defense","auto","2026-04-10T15:02:14.244Z","2026-04-10T15:02:14.244Z","","","8","6","0","6","2","0","0","false","0.750","0","0","high","1","productive"
"legacy__ashby__stainlessapi","auto","2026-04-10T15:02:15.157Z","2026-04-10T15:02:15.157Z","","","16","0","0","0","5","0","11","false","0.000","0","0","low","2","irrelevant_only"
"legacy__ashby__StandardBots","auto","2026-04-10T15:02:17.344Z","2026-04-10T15:02:17.344Z","","","37","0","0","0","36","0","1","false","0.000","0","0","low","2","irrelevant_only"
