"ats","slug","company_name","status","last_checked_at","last_successful_fetch_at","jobs_last_run","jobs_relevant_last_run","jobs_inserted_last_run","jobs_updated_last_run","jobs_irrelevant_last_run","jobs_partial_last_run","jobs_old_last_run","fetch_failed_last_run","yield_last_run","times_seen_empty","times_failed","scrape_tier","scrape_every_runs","bucket_last_run","last_error","provider","company"
"ashby","northvectordynamics","Northvectordynamics","auto","2026-04-10T15:01:00.740Z","2026-04-10T15:01:00.740Z","6","1","0","1","5","0","0","false","0.167","0","0","medium","1","productive","","ashby","Northvectordynamics"
"ashby","northwoodspace","Northwoodspace","auto","2026-04-10T15:01:01.011Z","2026-04-10T15:01:01.011Z","56","0","0","0","38","0","18","false","0.000","0","0","low","2","irrelevant_only","","ashby","Northwoodspace"
"ashby","observable-space","Observable Space","auto","2026-04-10T15:01:01.235Z","2026-04-10T15:01:01.235Z","18","0","0","0","16","0","2","false","0.000","0","0","low","2","irrelevant_only","","ashby","Observable Space"
"ashby","obvio","Obvio","auto","2026-04-10T15:01:01.456Z","2026-04-10T15:01:01.456Z","10","0","0","0","7","0","3","false","0.000","0","0","low","2","irrelevant_only","","ashby","Obvio"
"ashby","odys-aviation","Odys Aviation","auto","2026-04-10T15:01:04.041Z","2026-04-10T15:01:04.041Z","15","12","0","12","1","0","2","false","0.800","0","0","high","1","productive","","ashby","Odys Aviation"
"ashby","oligo","Oligo","auto","2026-04-10T15:01:04.236Z","2026-04-10T15:01:04.236Z","14","0","0","0","4","0","10","false","0.000","0","0","low","2","irrelevant_only","","ashby","Oligo"
"ashby","onebrief","Onebrief","auto","2026-04-10T15:01:04.506Z","2026-04-10T15:01:04.506Z","25","0","0","0","24","0","1","false","0.000","0","0","low","2","irrelevant_only","","ashby","Onebrief"
"ashby","OnHires","OnHires","auto","2026-04-10T15:01:06.634Z","2026-04-10T15:01:06.634Z","49","2","0","2","47","0","0","false","0.041","0","0","low","2","productive","","ashby","OnHires"
"ashby","orchard","Orchard","auto","2026-04-10T15:01:06.870Z","2026-04-10T15:01:06.870Z","15","0","0","0","12","0","3","false","0.000","0","0","low","2","irrelevant_only","","ashby","Orchard"
"ashby","persona.ai","Persona.Ai","auto","2026-04-10T15:01:07.282Z","2026-04-10T15:01:07.282Z","12","1","0","1","3","0","8","false","0.083","0","0","low","2","productive","","ashby","Persona.Ai"
"ashby","physicalintelligence","Physicalintelligence","auto","2026-04-10T15:01:08.468Z","2026-04-10T15:01:08.468Z","22","0","0","0","12","0","10","false","0.000","0","0","low","2","irrelevant_only","","ashby","Physicalintelligence"
"ashby","pirros","Pirros","auto","2026-04-10T15:01:08.671Z","2026-04-10T15:01:08.671Z","3","0","0","0","3","0","0","false","0.000","0","0","low","2","irrelevant_only","","ashby","Pirros"
